"","Genus","Species","reference_no","subfamily","Tribe","Fossil","min_ma","max_ma","Notes"
"301","Formica","primordialis","37344","Formicinae",NA,"Yes",11.608,12.7,"Note"
"302","Formica","procera","37344","Formicinae",NA,"Yes",11.608,12.7,"Note"
"303","Formica","pulchella","37344","Formicinae",NA,"Yes",11.608,12.7,"Note"
"304","Formica","quadrata","44586","Formicinae",NA,"Yes",33.9,38,"Note"
"305","Formica","radchenkoi","44522","Formicinae",NA,"Yes",33.9,38,"Note"
"306","Formica","robusta","4971","Formicinae",NA,"Yes",33.9,37.2,"Note"
"307","Formica","sepulta","38999","Formicinae",NA,"Yes",28.4,33.9,"Note"
"308","Formica","serresi","38999","Formicinae",NA,"Yes",23.03,28.1,"Note"
"309","Formica","seuberti","37344","Formicinae",NA,"Yes",11.608,12.7,"Note"
"310","Formica","strangulata","40999","Formicinae",NA,"Yes",33.9,38,"Note"
"311","Formica","surinamensis","44587","Formicinae",NA,"Yes",33.9,38,"Note"
"312","Formica","trigona","44584","Formicinae",NA,"Yes",33.9,38,"Note"
"313","Formica","tripartita","38999","Formicinae",NA,"Yes",28.4,33.9,"Note"
"314","Formica","ungeri","37344","Formicinae",NA,"Yes",11.608,12.7,"Note"
"315","Formica","zherikhini","44522","Formicinae",NA,"Yes",33.9,38,"Note"
"316","Formicinae",NA,"44418","Formicinae",NA,"Yes",46.2,50.3,"Note"
"317","Fushuniformica","spinata","40725","Formicinae",NA,"Yes",48.6,55.8,"Note"
"318","Gesomyrmex","bremii","37344","Formicinae",NA,"Yes",11.608,12.7,"Note"
"319","Gesomyrmex","breviceps","44599","Formicinae",NA,"Yes",40.4,48.6,"Note"
"320","Gesomyrmex","curiosus","44599","Formicinae",NA,"Yes",40.4,48.6,"Note"
"321","Gesomyrmex","flavescens","44599","Formicinae",NA,"Yes",40.4,48.6,"Note"
"322","Gesomyrmex","germanicus","44599","Formicinae",NA,"Yes",40.4,48.6,"Note"
"323","Gesomyrmex","hoernesi","40999","Formicinae",NA,"Yes",33.9,38,"Note"
"324","Gesomyrmex","incertus","56094","Formicinae",NA,"Yes",33.9,38,"Note"
"325","Gesomyrmex","macrops","56094","Formicinae",NA,"Yes",33.9,38,"Note"
"326","Gesomyrmex","magnus","56094","Formicinae",NA,"Yes",33.9,38,"Note"
"327","Gesomyrmex","pulcher","44599","Formicinae",NA,"Yes",40.4,48.6,"Note"
"328","Glaphyromyrmex","oligocenicus","38999","Formicinae",NA,"Yes",28.4,33.9,"Note"
"329","Heeridris","croaticus","51760","Formicinae",NA,"Yes",11.608,12.7,"Note"
"330","Huaxiaformica","mallepetiolata","40725","Formicinae",NA,"Yes",48.6,55.8,"Note"
"331","Imhoffia","nigra","37344","Formicinae",NA,"Yes",11.608,12.7,"Note"
"332","Imhoffia","pallida","38709","Formicinae",NA,"Yes",11.608,12.7,"Note"
"333","Kyromyrma","neffi","36269","Formicinae",NA,"Yes",89.8,93.9,"Note"
"334","Lasius",NA,"39931","Formicinae",NA,"Yes",20.44,23.03,"Note"
"335","Lasius","anthracinus","51760","Formicinae",NA,"Yes",11.608,12.7,"Note"
"336","Lasius","chambonensis","44462","Formicinae",NA,"Yes",2.588,3.6,"Note"
"337","Lasius","crispus","44462","Formicinae",NA,"Yes",7.246,11.62,"Note"
"338","Lasius","epicentrus","38999","Formicinae",NA,"Yes",23.03,28.1,"Note"
"339","Lasius","globularis","38709","Formicinae",NA,"Yes",23.03,28.1,"Note"
"340","Lasius","glom","55770","Formicinae",NA,"Yes",41.3,47.8,"Note"
"341","Lasius","inflatus","16579","Formicinae",NA,"Yes",11.608,15.97,"Note"
"342","Lasius","longaevus","51392","Formicinae",NA,"Yes",11.608,12.7,"Note"
"343","Lasius","longipennis","37344","Formicinae",NA,"Yes",11.608,12.7,"Note"
"344","Lasius","mordicus","16579","Formicinae",NA,"Yes",11.608,15.97,"Note"
"345","Lasius","nemorivagus","40999","Formicinae",NA,"Yes",33.9,38,"Note"
"346","Lasius","oblongus","37742","Formicinae",NA,"Yes",5.333,11.608,"Note"
"347","Lasius","occultatus","37344","Formicinae",NA,"Yes",12.7,13.65,"Note"
"348","Lasius","ophthalmicus","51392","Formicinae",NA,"Yes",11.608,12.7,"Note"
"349","Lasius","peritulus","4971","Formicinae",NA,"Yes",33.9,37.2,"Note"
"350","Lasius","pumilus","44414","Formicinae",NA,"Yes",33.9,38,"Note"
"351","Lasius","punctulatus","44414","Formicinae",NA,"Yes",33.9,38,"Note"
"352","Lasius","schiefferdeckeri","44414","Formicinae",NA,"Yes",33.9,38,"Note"
"353","Lasius","tertiarius","44614","Formicinae",NA,"Yes",11.608,12.7,"Note"
"354","Lasius","truncatus","16579","Formicinae",NA,"Yes",11.608,15.97,"Note"
"355","Lasius","validus","16579","Formicinae",NA,"Yes",11.608,15.97,"Note"
"356","Lasius","vetulus","16579","Formicinae",NA,"Yes",11.608,15.97,"Note"
"357","Leptogasteritus","capricornutes","40725","Formicinae",NA,"Yes",48.6,55.8,"Note"
"358","Leucotaphus","donisthorpei","51861","Formicinae",NA,"Yes",33.9,38,"Note"
"359","Leucotaphus","gurnetensis","37729","Formicinae",NA,"Yes",33.9,38,"Note"
"360","Liaoformica","longipetiolata","40725","Formicinae",NA,"Yes",48.6,55.8,"Note"
"361","Longiformica","dongzhouheensis","40725","Formicinae",NA,"Yes",48.6,55.8,"Note"
"362","Longiformica","guchengziensis","40725","Formicinae",NA,"Yes",48.6,55.8,"Note"
"363","Magnogasterites","curticornutus","40725","Formicinae",NA,"Yes",48.6,55.8,"Note"
"364","Myrmecorhynchus","novaeseelandiae","59088","Formicinae",NA,"Yes",20.44,23.03,"Note"
"365","Nylanderia","pygmaea","44414","Formicinae",NA,"Yes",33.9,38,"Note"
"366","Nylanderia","vetula","44618","Formicinae",NA,"Yes",13.82,20.44,"Note"
"367","Oecophylla","atavina","37729","Formicinae",NA,"Yes",33.9,38,"Note"
"368","Oecophylla","bartoniana","41450","Formicinae",NA,"Yes",41.3,47.8,"Note"
"369","Oecophylla","brischkei","44414","Formicinae",NA,"Yes",33.9,38,"Note"
"370","Oecophylla","crassinoda","40999","Formicinae",NA,"Yes",33.9,38,"Note"
"371","Oecophylla","eckfeldiana","37721","Formicinae",NA,"Yes",40.4,48.6,"Note"
"372","Oecophylla","grandimandibula","51140","Formicinae",NA,"Yes",5.333,8.7,"Note"
"373","Oecophylla","leakeyi","44619","Formicinae",NA,"Yes",15.97,20.44,"Note"
"374","Oecophylla","longiceps","37721","Formicinae",NA,"Yes",40.4,48.6,"Note"
"375","Oecophylla","megarche","37729","Formicinae",NA,"Yes",33.9,38,"Note"
"376","Oecophylla","obesa","37344","Formicinae",NA,"Yes",11.608,12.7,"Note"
"377","Oecophylla","praeclara","38738","Formicinae",NA,"Yes",28.4,33.9,"Note"
"378","Oecophylla","sicula","44518","Formicinae",NA,"Yes",5.333,11.608,"Note"
"379","Oecophylla","superba","38999","Formicinae",NA,"Yes",28.4,33.9,"Note"
"380","Orbicapitia","reticulata","40725","Formicinae",NA,"Yes",48.6,55.8,"Note"
"381","Ovalicapito","fushunensis","40725","Formicinae",NA,"Yes",48.6,55.8,"Note"
"382","Ovaligastrula","xilutianensis","40725","Formicinae",NA,"Yes",48.6,55.8,"Note"
"383","Plagiolepis","klinsmanni","44414","Formicinae",NA,"Yes",33.9,38,"Note"
"384","Plagiolepis","kuenowi","44414","Formicinae",NA,"Yes",33.9,38,"Note"
"385","Plagiolepis","labilis","44518","Formicinae",NA,"Yes",5.333,11.608,"Note"
"386","Plagiolepis","minutissima","44578","Formicinae",NA,"Yes",33.9,38,"Note"
"387","Plagiolepis","paradoxa","44621","Formicinae",NA,"Yes",33.9,38,"Note"
"388","Plagiolepis","singularis","44414","Formicinae",NA,"Yes",33.9,38,"Note"
"389","Plagiolepis","solitaria","44414","Formicinae",NA,"Yes",33.9,38,"Note"
"390","Plagiolepis","squamifera","44414","Formicinae",NA,"Yes",33.9,38,"Note"
"391","Plagiolepis","wheeleri","44621","Formicinae",NA,"Yes",33.9,38,"Note"
"392","Polyrhachis","annosus","42983","Formicinae",NA,"Yes",5.333,7.246,"Note"
"393","Prenolepis","henschei","39242","Formicinae",NA,"Yes",33.9,38,"Note"
"394","Prodimorphomyrmex","primigenius","40999","Formicinae",NA,"Yes",33.9,38,"Note"
"395","Protoformica","proformicoides","11234","Formicinae",NA,"Yes",33.9,38,"Note"
"396","Protomyrmica","atavia","44624","Formicinae",NA,"Yes",33.9,38,"Note"
"397","Protrechina","carpenteri","38990","Formicinae",NA,"Yes",38,41.3,"Note"
"398","Pseudocamponotus","elkoanus","4971","Formicinae",NA,"Yes",28.4,37.2,"Note"
"399","Pseudolasius","boreus","40999","Formicinae",NA,"Yes",33.9,38,"Note"
"400","Sicilomyrmex","corniger","44518","Formicinae",NA,"Yes",5.333,11.608,"Note"
"401","Sinoformica","longicapitata","40725","Formicinae",NA,"Yes",48.6,55.8,"Note"
"402","Sinotenuicapito","badis","40725","Formicinae",NA,"Yes",48.6,55.8,"Note"
"403","Wilsonia","liaoningensis","40725","Formicinae",NA,"Yes",48.6,55.8,"Note"
"404","Wilsonia","megagastrosa","40725","Formicinae",NA,"Yes",48.6,55.8,"Note"
"405","Zatania","electra","44640","Formicinae",NA,"Yes",13.82,20.44,"Note"
"406","Formicium","berryi","44588","Fomiciinae",NA,"Yes",38,41.3,"Note"
"407","Formicium","brodiei","49700","Fomiciinae",NA,"Yes",33.9,38,"Note"
"408","Calyptites","antediluvianum","39765","Incertae",NA,"Yes",23.03,33.9,"Possibly not an ant, date seems goofy"
"409","Camelomecia",NA,"58266","Incertae",NA,"Yes",93.5,99.6,"Possibly not an ant"
"410","Camelomecia","janovitzi","58266","Incertae",NA,"Yes",93.5,99.6,"Possibly not an ant"
"411","Cretopone","magna","37059","Incertae",NA,"Yes",89.8,93.9,"Possibly not an ant"
"412","Curticorna","leptogastrosa","40725","Incertae",NA,"Yes",48.6,55.8,"Possibly not an ant"
"413","Eoaenictites","castanifurvus","40725","Incertae",NA,"Yes",48.6,55.8,"Maybe not an ant"
"414","Eoformica","brevipetiola","55770","Incertae",NA,"Yes",41.3,47.8,"Maybe not an ant"
"415","Eoformica","expectans","38999","Incertae",NA,"Yes",28.4,33.9,"Maybe not an ant"
"416","Eoformica","globularis","44418","Incertae",NA,"Yes",46.2,50.3,"Maybe not an ant"
"417","Eoformica","latimedia","55770","Incertae",NA,"Yes",41.3,47.8,"Maybe not an ant"
"418","Eoformica","magna","44418","Incertae",NA,"Yes",46.2,50.3,"Maybe not an ant"
"419","Eoformica","pinguis","5045","Incertae",NA,"Yes",46.2,50.3,"Maybe not an ant"
"420","Fonsecahymen","stigmata","44582","Incertae",NA,"Yes",33.9,38,"Maybe not an ant"
"421","Klondikia","whiteae","44418","Incertae",NA,"Yes",47.8,56,"Maybe not an ant"
"422","Kohlsimyrma","gracilis","44418","Incertae",NA,"Yes",46.2,50.3,"Maybe not an ant"
"423","Kohlsimyrma","laticeps","44418","Incertae",NA,"Yes",46.2,50.3,"Maybe not an ant"
"424","Kohlsimyrma","longiceps","44418","Incertae",NA,"Yes",46.2,50.3,"Maybe not an ant"
"425","Myanmyrma","gracilis","36535","Incertae",NA,"Yes",93.5,99.6,"Maybe not an ant"
"426","Petropone","petiolata","37059","Incertae",NA,"Yes",89.8,93.9,"Note"
"427","Eocynipites","xilutianensis","40725","Insect",NA,"Yes",48.6,55.8,"Not an ant"
"428","Pristomyrmex","rasnitsyni","44628","Myrmicinae",NA,"Yes",33.9,38,"Note"
"429","Quadrulicapito","longa","40725","Myrmicinae",NA,"Yes",48.6,55.8,"Note"
"430","Sinomyrmex","brunneus","40725","Myrmicinae",NA,"Yes",48.6,55.8,"Note"
"431","Sinomyrmex","furvis","40725","Myrmicinae",NA,"Yes",48.6,55.8,"Note"
"432","Solenopsidini",NA,"39931","Myrmicinae","Solenopsidini","Yes",20.44,23.03,"Note"
"433","Solenopsis",NA,"56112","Myrmicinae","Solenopsidini","Yes",5.333,8.7,"Note"
"434","Solenopsis","alena","38999","Myrmicinae","Solenopsidini","Yes",28.4,33.9,"Note"
"435","Solenopsis","blanda","38738","Myrmicinae","Solenopsidini","Yes",28.4,33.9,"Note"
"436","Solenopsis","foersteri","38999","Myrmicinae","Solenopsidini","Yes",28.4,33.9,"Note"
"437","Solenopsis","maxima","38738","Myrmicinae","Solenopsidini","Yes",28.4,33.9,"Note"
"438","Solenopsis","moesta","38738","Myrmicinae","Solenopsidini","Yes",28.4,33.9,"Note"
"439","Solenopsis","privata","38738","Myrmicinae","Solenopsidini","Yes",28.4,33.9,"Note"
"440","Solenopsis","superba","38738","Myrmicinae","Solenopsidini","Yes",28.4,33.9,"Note"
"441","Solenopsis","valida","38738","Myrmicinae","Solenopsidini","Yes",28.4,33.9,"Note"
"442","Solenopsites","abdita","55770","Myrmicinae","Solenopsidini","Yes",41.3,47.8,"Note"
"443","Solenopsites","minutus","44418","Myrmicinae","Solenopsidini","Yes",46.2,50.3,"Note"
"444","Solenopsites","rossi","51861","Myrmicinae","Solenopsidini","Yes",33.9,38,"Note"
"445","Veromessor","andrei","52639","Myrmicinae",NA,"Yes",0.012,0.3,"Note"
"446","Vollenhovia","beyrichi","44414","Myrmicinae",NA,"Yes",33.9,38,"Note"
"447","Vollenhovia","prisca","44622","Myrmicinae",NA,"Yes",33.9,38,"Note"
"448","Wumyrmex","furvis","40725","Myrmicinae",NA,"Yes",48.6,55.8,"Note"
"449","Zhangidris","atopogaster","16579","Myrmicinae",NA,"Yes",11.608,15.97,"Note"
"450","Archimyrmex","piatnitzkyi","44403","Myrmiciinae",NA,"Yes",41.3,47.8,"Note"
"451","Archimyrmex","rostratus","44405","Myrmiciinae",NA,"Yes",46.2,50.3,"Note"
"452","Archimyrmex","smekali","44436","Myrmiciinae",NA,"Yes",41.3,47.8,"Note"
"453","Archimyrmex","wedmannae","41794","Myrmiciinae",NA,"Yes",40.4,48.6,"Note"
"454","Avitomyrmex","elongatus","38422","Myrmiciinae",NA,"Yes",47.8,56,"Note"
"455","Avitomyrmex","mastax","38422","Myrmiciinae",NA,"Yes",47.8,56,"Note"
"456","Avitomyrmex","systenus","38422","Myrmiciinae",NA,"Yes",47.8,56,"Note"
"457","Myrmeciites",NA,"38422","Myrmiciinae",NA,"Yes",47.8,56,"Note"
"458","Myrmeciites","goliath","38422","Myrmiciinae",NA,"Yes",47.8,56,"Note"
"459","Myrmeciites","herculeanus","38422","Myrmiciinae",NA,"Yes",47.8,56,"Note"
"460","Myrmeciites","tabanifluviensis","38422","Myrmiciinae",NA,"Yes",47.8,56,"Note"
"461","Prionomyrmex",NA,"49311","Myrmiciinae",NA,"Yes",33.9,38,"Note"
"462","Prionomyrmex","janzeni","44627","Myrmiciinae",NA,"Yes",33.9,56,"Note"
"463","Prionomyrmex","longiceps","44414","Myrmiciinae",NA,"Yes",33.9,38,"Note"
"464","Prionomyrmex","wappleri","41794","Myrmiciinae",NA,"Yes",23.03,28.4,"Note"
"465","Ypresiomyrma","bartletti","38422","Myrmiciinae",NA,"Yes",47.8,56,"Note"
"466","Ypresiomyrma","orbiculata","38422","Myrmiciinae",NA,"Yes",47.8,56,"Note"
"467","Ypresiomyrma","orientalis","56094","Myrmiciinae",NA,"Yes",33.9,38,"Note"
"468","Ypresiomyrma","rebekkae","44639","Myrmiciinae",NA,"Yes",47.8,56,"Note"
"469","Acanthognathus","poinari","44409","Myrmicinae",NA,"Yes",13.82,20.44,"Note"
"470","Afromyrma","petrosa","38353","Myrmicinae",NA,"Yes",89.8,93.9,"Note"
"471","Agastomyrma","laticeps","56094","Myrmicinae",NA,"Yes",33.9,38,"Note"
"472","Aphaenogaster",NA,"34859","Myrmicinae",NA,"Yes",5.333,7.246,"Note"
"473","Aphaenogaster","amphioceanica","5186","Myrmicinae",NA,"Yes",13.82,20.44,"Note"
"474","Aphaenogaster","antiqua","44578","Myrmicinae",NA,"Yes",33.9,38,"Note"
"475","Aphaenogaster","archaica","44433","Myrmicinae",NA,"Yes",23.03,28.4,"Note"
"476","Aphaenogaster","avita","34858","Myrmicinae",NA,"Yes",13.82,15.97,"Note"
"477","Aphaenogaster","donisthorpei","4971","Myrmicinae",NA,"Yes",33.9,37.2,"Note"
"478","Aphaenogaster","dumetora","47627","Myrmicinae",NA,"Yes",11.608,15.97,"Note"
"479","Aphaenogaster","lapidescens","16579","Myrmicinae",NA,"Yes",11.608,15.97,"Note"
"480","Aphaenogaster","longaeva","39765","Myrmicinae","Attini","Yes",23.03,33.9,"Note"
"481","Aphaenogaster","maculata","38999","Myrmicinae",NA,"Yes",23.03,28.1,"Note"
"482","Aphaenogaster","maculipes","38999","Myrmicinae",NA,"Yes",28.4,33.9,"Note"
"483","Aphaenogaster","mayri","4971","Myrmicinae",NA,"Yes",33.9,37.2,"Note"
"484","Aphaenogaster","mersa","40999","Myrmicinae",NA,"Yes",33.9,38,"Note"
"485","Aphaenogaster","oligocenica","40999","Myrmicinae",NA,"Yes",33.9,38,"Note"
"486","Aphaenogaster","paludosa","16579","Myrmicinae",NA,"Yes",11.608,15.97,"Note"
"487","Aphaenogaster","pannonica","44435","Myrmicinae",NA,"Yes",5.333,7.246,"Note"
"488","Aphaenogaster","praerelicta","5186","Myrmicinae",NA,"Yes",15.97,23.03,"Note"
"489","Aphaenogaster","shanwangensis","15208","Myrmicinae",NA,"Yes",11.608,15.97,"Note"
"490","Aphaenogaster","sommerfeldti","44414","Myrmicinae",NA,"Yes",33.9,38,"Note"
"491","Apterostigma","electropilosum","40811","Myrmicinae",NA,"Yes",13.82,20.44,"Note"
"492","Apterostigma","eowilsoni","40811","Myrmicinae",NA,"Yes",13.82,20.44,"Note"
"493","Attopsis","longipennis","37344","Myrmicinae",NA,"Yes",11.608,12.7,"Note"
"494","Attopsis","longipes","38709","Myrmicinae",NA,"Yes",11.608,12.7,"Note"
"495","Biamomyrma","lata","56094","Myrmicinae",NA,"Yes",33.9,38,"Note"
"496","Biamomyrma","rugosa","56094","Myrmicinae",NA,"Yes",33.9,38,"Note"
"497","Biamomyrma","zherikhini","56094","Myrmicinae",NA,"Yes",33.9,38,"Note"
"498","Bilobomyrma","baltica","48824","Myrmicinae",NA,"Yes",33.9,38,"Note"
"499","Bilobomyrma","ukrainica","48824","Myrmicinae",NA,"Yes",33.9,38,"Note"
"500","Boltonidris","mirabilis","48397","Myrmicinae",NA,"Yes",33.9,38,"Note"
"501","Brachytarsites","dongzhouheensis","40725","Myrmicinae",NA,"Yes",48.6,55.8,"Note"
"502","Carebara","antiqua","44414","Myrmicinae","Crematogastrini","Yes",33.9,38,"Note"
"503","Carebara","bohemica","44517","Myrmicinae","Crematogastrini","Yes",15.97,16.9,"Note"
"504","Carebara","nitida","44578","Myrmicinae","Crematogastrini","Yes",33.9,38,"Note"
"505","Carebara","rugiceps","37344","Myrmicinae","Crematogastrini","Yes",11.608,12.7,"Note"
"506","Carebara","schossnicensis","37742","Myrmicinae","Crematogastrini","Yes",5.333,11.608,"Note"
"507","Carebara","sophiae","44518","Myrmicinae","Crematogastrini","Yes",5.333,11.608,"Note"
"508","Carebara","thorali","44519","Myrmicinae","Crematogastrini","Yes",23.03,28.1,"Note"
"509","Carebara","ucrainica","44578","Myrmicinae","Crematogastrini","Yes",33.9,38,"Note"
"510","Cataulacus",NA,"51392","Myrmicinae",NA,"Yes",11.608,12.7,"Note"
"511","Cataulacus","planiceps","44518","Myrmicinae",NA,"Yes",5.333,11.608,"Note"
"512","Cataulacus","plebeius","44523","Myrmicinae",NA,"Yes",15.97,20.44,"Note"
"513","Cataulacus","silvestrii","44518","Myrmicinae",NA,"Yes",5.333,11.608,"Note"
"514","Cephalomyrmex","rotundatus","4971","Myrmicinae",NA,"Yes",33.9,37.2,"Note"
"515","Cephalotes",NA,"57466","Myrmicinae",NA,"Yes",15.97,23.03,"Note"
"516","Cephalotes","alveolatus","40531","Myrmicinae",NA,"Yes",13.82,20.44,"Note"
"517","Cephalotes","bloosi","40586","Myrmicinae",NA,"Yes",13.82,20.44,"Note"
"518","Cephalotes","brevispineus","40586","Myrmicinae",NA,"Yes",13.82,20.44,"Note"
"519","Cephalotes","caribicus","40586","Myrmicinae",NA,"Yes",13.82,20.44,"Note"
"520","Cephalotes","dieteri","40586","Myrmicinae",NA,"Yes",13.82,20.44,"Note"
"521","Cephalotes","hispaniolicus","40586","Myrmicinae",NA,"Yes",13.82,20.44,"Note"
"522","Cephalotes","integerrimus","40531","Myrmicinae",NA,"Yes",13.82,20.44,"Note"
"523","Cephalotes","jansei","40531","Myrmicinae",NA,"Yes",13.82,20.44,"Note"
"524","Cephalotes","maya","40586","Myrmicinae",NA,"Yes",15.97,23.03,"Note"
"525","Cephalotes","obscurus","40531","Myrmicinae",NA,"Yes",13.82,20.44,"Note"
"526","Cephalotes","olmecus","40586","Myrmicinae",NA,"Yes",15.97,23.03,"Note"
"527","Cephalotes","poinari","40586","Myrmicinae",NA,"Yes",15.97,23.03,"Note"
"528","Cephalotes","resinae","40586","Myrmicinae",NA,"Yes",0,0.0117,"Note"
"529","Cephalotes","serratus","40531","Myrmicinae",NA,"Yes",13.82,20.44,"Note"
"530","Cephalotes","squamosus","40531","Myrmicinae",NA,"Yes",13.82,20.44,"Note"
"531","Cephalotes","sucinus","40586","Myrmicinae",NA,"Yes",13.82,20.44,"Note"
"532","Cephalotes","taino","40586","Myrmicinae",NA,"Yes",0,0.0117,"Note"
"533","Cephalotes","ventriosus","40586","Myrmicinae",NA,"Yes",15.97,23.03,"Note"
"534","Clavipetiola","asiatica","40725","Myrmicinae",NA,"Yes",48.6,55.8,"Note"
"535","Crematogaster",NA,"57466","Myrmicinae",NA,"Yes",15.97,23.03,"Note"
"536","Crematogaster","aurora","55770","Myrmicinae",NA,"Yes",41.3,47.8,"Note"
"537","Crematogaster","praecursor","44518","Myrmicinae",NA,"Yes",5.333,11.608,"Note"
"538","Cyphomyrmex","maya","44526","Myrmicinae",NA,"Yes",15.97,23.03,"Note"
"539","Cyphomyrmex","taino","44526","Myrmicinae",NA,"Yes",13.82,20.44,"Note"
"540","Electroponera","dubia","40999","Myrmicinae",NA,"Yes",33.9,38,"Note"
"541","Enneamerus","reticulatus","44414","Myrmicinae",NA,"Yes",33.9,38,"Note"
"542","Eocenidris","crassa","38990","Myrmicinae",NA,"Yes",38,41.3,"Note"
"543","Eocenomyrma","electrina","44580","Myrmicinae",NA,"Yes",33.9,38,"Note"
"544","Eocenomyrma","elegantula","44580","Myrmicinae",NA,"Yes",33.9,38,"Note"
"545","Eocenomyrma","orthospina","44580","Myrmicinae",NA,"Yes",33.9,38,"Note"
"546","Eocenomyrma","rugosostriata","44414","Myrmicinae",NA,"Yes",33.9,38,"Note"
"547","Eomyrmex","guchengziensis","44613","Myrmicinae",NA,"Yes",48.6,55.8,"Note"
"548","Fallomyrma","transversa","44581","Myrmicinae",NA,"Yes",33.9,38,"Note"
"549","Fushunomyrmex","liaoningensis","40725","Myrmicinae",NA,"Yes",48.6,55.8,"Note"
"550","Hypopomyrmex","bombiccii","44518","Myrmicinae",NA,"Yes",5.333,11.608,"Note"
"551","Ilemomyrmex","caecus","5205","Myrmicinae",NA,"Yes",13.82,20.44,"Note"
"552","Leptothorax",NA,"39515","Myrmicinae",NA,"Yes",5.333,7.246,"Note"
"553","Leptothorax","muscorum","54747","Myrmicinae",NA,"Yes",0.0117,0.126,"Note"
"554","Lonchomyrmex","freyeri","38709","Myrmicinae",NA,"Yes",11.608,12.7,"Note"
"555","Lonchomyrmex","nigritus","37742","Myrmicinae",NA,"Yes",5.333,11.608,"Note"
"556","Macabeemyrma","ovata","38422","Myrmicinae",NA,"Yes",47.8,56,"Note"
"557","Messor",NA,"34859","Myrmicinae",NA,"Yes",5.333,7.246,"Note"
"558","Messor","sculpturatus","4971","Myrmicinae",NA,"Yes",33.9,37.2,"Note"
"559","Miosolenopsis","fossilis","16579","Myrmicinae",NA,"Yes",11.608,15.97,"Note"
"560","Monomorium",NA,"44580","Myrmicinae",NA,"Yes",33.9,38,"Note"
"561","Monomorium","kugleri","40645","Myrmicinae",NA,"Yes",33.9,38,"Note"
"562","Monomorium","mayrianum","44414","Myrmicinae",NA,"Yes",33.9,38,"Note"
"563","Monomorium","pilipes","44414","Myrmicinae",NA,"Yes",33.9,38,"Note"
"564","Myrmecites","dubius","56094","Myrmicinae",NA,"Yes",33.9,38,"Note"
"565","Myrmecites","latus","51760","Myrmicinae",NA,"Yes",11.608,12.7,"Note"
"566","Myrmecites","major","56094","Myrmicinae",NA,"Yes",33.9,38,"Note"
"567","Myrmecites","pusillus","37344","Myrmicinae",NA,"Yes",11.608,12.7,"Note"
"568","Myrmecites","rotundiceps","44418","Myrmicinae",NA,"Yes",46.2,50.3,"Note"
"569","Myrmecites","sibiricus","56094","Myrmicinae",NA,"Yes",33.9,38,"Note"
"570","Myrmica",NA,"37344","Myrmicinae",NA,"Yes",11.608,12.7,"Note"
"571","Myrmica","eocenica","40541","Myrmicinae",NA,"Yes",33.9,38,"Note"
"572","Myrmica","incompleta","54747","Myrmicinae",NA,"Yes",0.0117,0.126,"Note"
"573","Myrmica","intermedia","40999","Myrmicinae",NA,"Yes",33.9,38,"Note"
"574","Myrmica","lobifrons","55325","Myrmicinae",NA,"Yes",0.0117,0.126,"Note"
"575","Myrmica","longispinosa","44414","Myrmicinae",NA,"Yes",33.9,38,"Note"
"576","Myrmica","paradoxa","40541","Myrmicinae",NA,"Yes",33.9,38,"Note"
"577","Myrmica","rudis","40541","Myrmicinae",NA,"Yes",33.9,38,"Note"
"578","Myrmicinae",NA,"34859","Myrmicinae",NA,"Yes",5.333,7.246,"Note"
"579","Myrmicites",NA,"38738","Myrmicinae",NA,"Yes",28.4,33.9,"Note"
"580","Nesomyrmex","caritatis","44617","Myrmicinae",NA,"Yes",13.82,20.44,"Note"
"581","Nesomyrmex","dominicanus","44617","Myrmicinae",NA,"Yes",13.82,20.44,"Note"
"582","Orbigastrula","guchengziensis","40725","Myrmicinae",NA,"Yes",48.6,55.8,"Note"
"583","Oxyidris","antillana","5205","Myrmicinae",NA,"Yes",13.82,20.44,"Note"
"584","Parameranoplus","primaevus","40999","Myrmicinae",NA,"Yes",33.9,38,"Note"
"585","Paraphaenogaster","hooleyana","51861","Myrmicinae",NA,"Yes",33.9,38,"Note"
"586","Paraphaenogaster","jurinei","37344","Myrmicinae",NA,"Yes",11.608,12.7,"Note"
"587","Paraphaenogaster","microphthalmus","41286","Myrmicinae",NA,"Yes",11.608,15.97,"Note"
"588","Paraphaenogaster","tertiaria","37344","Myrmicinae",NA,"Yes",11.608,12.7,"Note"
"589","Pheidole",NA,"44620","Myrmicinae",NA,"Yes",13.82,20.44,"Note"
"590","Pheidole","cordata","44586","Myrmicinae",NA,"Yes",33.9,38,"Note"
"591","Pheidole","pallidula","56112","Myrmicinae",NA,"Yes",5.333,8.7,"Note"
"592","Pheidole","primigenia","44620","Myrmicinae",NA,"Yes",13.82,20.44,"Note"
"593","Pheidole","rasnitsyni","47543","Myrmicinae",NA,"Yes",0,0.0117,"Note"
"594","Pheidole","tertiaria","4971","Myrmicinae",NA,"Yes",33.9,37.2,"Note"
"595","Pheidole","tethepa","5205","Myrmicinae",NA,"Yes",13.82,20.44,"Note"
"596","Plesiomyrmex","tubulatus","44624","Myrmicinae",NA,"Yes",33.9,38,"Note"
"597","Podomyrma","mayri","44518","Myrmicinae",NA,"Yes",5.333,11.608,"Note"
"598","Pogonomyrmex","fossilis","4971","Myrmicinae",NA,"Yes",33.9,37.2,"Note"
"599","Quineangulicapito","fushunensis","40725","Myrmicinae",NA,"Yes",48.6,55.8,"Note"
